,beta0,beta1,beta2,beta3,tau1,tau2
2022-05-19,0.18100721835598985,-0.36910172817770004,-3.976517598960567,2.7036250361761187,2.6165909446382933,6.194880609639566
2022-05-20,0.15426320708950134,-0.31802693402172716,-4.011411155420113,2.819717178689803,2.611455375094954,6.3065369549672505
2022-05-23,0.19408543558466618,-0.35654662254995234,-4.6479865294208365,3.396418150839995,2.8164429094864314,5.600123115806582
2022-05-24,0.10410631924303552,-0.270915939367128,-4.6312689108307845,3.4334827796232137,2.798570748132373,5.7649806018235665
2022-05-25,0.17670224603857504,-0.34982687498871523,-4.847378946203585,3.5232435607538544,2.7734753055076435,5.453990274554576
2022-05-26,0.18404012254448704,-0.36970306554392146,-4.4010152505796345,3.0215567813602817,2.616834452739304,5.7328793584736655
2022-05-27,0.2013068769698232,-0.40193516627873427,-4.609320857065506,3.177212769722422,2.662819532439261,5.558890688626575
2022-05-30,0.17501309550216834,-0.3926097962576645,-4.985978867186624,3.572283000278642,2.712599902237842,5.419591758158253
2022-05-31,0.22444583673791046,-0.42238682726741333,-9.999999999999845,8.638081375638084,3.306006587460134,4.456121202521862
2022-06-01,0.2504750970594374,-0.3517789293494068,-9.999999999999904,8.211958194520493,3.114971494838691,4.2512199060961
2022-06-06,0.27401329823497245,-0.37375776472923145,-9.999999999999998,8.280804348759652,3.1811773641732377,4.287383545113142
2022-06-07,0.2529998487025951,-0.3787828370474963,-9.999999999999998,8.269842428863816,3.123222417328567,4.2307654052323835
2022-06-08,0.23192248533167825,-0.38780447651770406,-9.999997958615994,8.350789274546086,3.1570299093260994,4.2730767262351455
2022-06-09,0.22469101004465622,-0.40566920048322075,-8.385378292970119,6.631086389951416,2.9588719433077593,4.312091800525615
2022-06-10,0.22112897958935157,-0.4205837552750002,-8.030790955040755,6.280501264514002,2.956484785555825,4.309882348827243
2022-06-13,0.2372978062823008,-0.3329949071200377,-5.500166774779314,3.390356537043495,2.5117299695159665,4.949313516418134
2022-06-14,0.20565769172822038,-0.34029210335220733,-5.10468144924987,3.092125775742418,2.504965574583383,5.121908693928822
2022-06-15,0.2124154486698347,-0.2983896914048849,-4.679372105034131,2.4305203162007034,2.2316380086680616,5.745052572578242
2022-06-16,0.1991609540897053,-0.255716225359662,-4.199122495005514,2.200248287105016,2.1742585092601407,6.349369799939167
2022-06-17,0.2096837270304746,-0.2634477527192792,-4.492009674085673,2.6384613287214163,2.3810479417645882,5.988261636765889
2022-06-20,0.24782962030666367,-0.3845037136639677,-9.999992603739502,8.35434902845337,3.2142056124869693,4.301257797907165
2022-06-21,0.2956969375983066,-0.42415042920745455,-9.999999999997376,8.249835584821168,3.212127339070569,4.21338707309512
2022-06-22,0.25594978957203113,-0.4651954572442172,-9.999999999999998,8.434002698938462,3.3368121092445424,4.362269188939544
2022-06-23,0.20568460317016363,-0.4550644359334578,-9.999999999999932,8.77336983346414,3.4540707995445046,4.56954941219931
2022-06-24,0.20599275447961235,-0.4374815630445629,-9.999999999996822,8.747770368008096,3.411010604732815,4.531986685964072
2022-06-27,0.237235883128245,-0.4166775744798116,-9.999999999999993,8.49656813984097,3.291617187305198,4.399167163726197
2022-06-28,0.22940797556435377,-0.40938077482064833,-9.999999999999995,8.559509224912741,3.379713905944968,4.525562835129792
2022-06-29,0.20406324892361033,-0.4050168906639153,-9.999999999999977,8.540238778551783,3.4246342086230137,4.60847297122175
2022-06-30,0.26497863040412317,-0.506896271593655,-9.999999999999742,8.856116217025388,3.5865920868024737,4.809878552489296
2022-07-01,0.23567225145449194,-0.4522121493152452,-4.828895765620719,3.1363066189157913,2.6512668507815027,5.7933793668873035
2022-07-04,0.2538759490066842,-0.46254752633264984,-4.595076190948425,3.0471342399211045,2.723577892542165,6.114503419235107
2022-07-05,0.2907780339229178,-0.48754896168669054,-4.335618600000549,2.7661298094613986,2.6732245731796875,6.413162997676183
2022-07-06,0.2709964564494588,-0.4271423269534269,-5.6193326642203285,3.930153564089664,2.942201564447842,5.604758933432325
2022-07-07,0.26793846533799165,-0.3725021121266987,-6.016724496710344,3.9848290362959204,2.8155170291069833,5.300722190812887
2022-07-08,0.286954676415443,-0.3755414185721819,-8.883410827835107,6.818126146696843,3.0840102055630965,4.513110145116094
2022-07-11,0.2891064145060256,-0.3984637267232681,-9.999999422779519,8.247107340237317,3.37021819903889,4.679572183316032
2022-07-12,0.30956364331086095,-0.44632145380459415,-9.999999999998378,8.391676668586731,3.507691550847148,4.841886430466391
2022-07-13,0.3234184342560826,-0.4550903505581694,-9.999999999993543,8.110389790396871,3.2470500008712246,4.468961533727962
2022-07-14,0.2859928335259997,-0.4058306237251761,-9.999999999992818,8.157928737543505,3.3194523136670875,4.5729508621660235
2022-07-15,0.29470097319861643,-0.4309390384959088,-9.999999999998943,8.279770550966521,3.3946345523838004,4.72429307311127
2022-07-18,0.2596127523665837,-0.41131589104822297,-9.999999999998298,8.455683565369087,3.4556580872943568,4.81976071288688
2022-07-19,0.2110976673823359,-0.3393260962033186,-9.999999999992134,8.619268292863257,3.5653319354611552,5.040147945733172
2022-07-20,0.15662301329924713,-0.297259568247247,-9.999999999999998,8.946831755848805,3.841656482816659,5.376424411634834
2022-07-21,0.0981608062171294,-0.2928121143811165,-9.999999999158206,9.053964189082114,3.8314422222913045,5.332285904505681
2022-07-22,0.05071929159086546,-0.3442308584090003,-9.999999999999714,9.414181780087272,3.9805222851556468,5.460867550574586
2022-07-25,0.13324427817340204,-0.37859441634629015,-9.999999999999998,9.188646854144134,3.919664913016048,5.384646152396055
2022-07-26,0.17692984487628177,-0.45150023290519364,-9.999999999997966,8.957596617508658,3.7950561712737456,5.211835241733746
2022-07-27,0.19094644965935545,-0.4656687636967619,-9.999999999999888,8.943451221687345,3.819526790608827,5.254068238919013
2022-07-28,0.13274075507318728,-0.5063694250280188,-9.999999999922466,9.18408420431988,3.8736378623062238,5.313533987170971
2022-07-29,0.16791614921099457,-0.4917860861163153,-9.999999999999833,9.141099456581873,3.840020874665669,5.215412844541092
2022-08-01,0.13041898819277978,-0.47691394102469786,-9.999999999995751,8.968294999552079,3.647895188244384,4.99807177025658
2022-08-02,0.049341434238892506,-0.2599850822125968,-4.238980001934899,2.9758878896797185,2.577220181459407,7.112116024143854
2022-08-03,0.1282560299441972,-0.27185363077038815,-4.134998015798914,2.773968188922513,2.545632972657406,7.096314459751449
2022-08-04,0.06776120884602242,-0.29116483399930954,-3.9423121291374925,2.8342531527933206,2.632346887935946,7.271947519067744
2022-08-05,-0.06401758694837707,-0.054288392453839054,-3.1724453398391237,2.2863623962706288,1.9709422521480178,10.719597950338134
2022-08-08,-0.3936069374970694,0.3161347035475207,-2.8312618833495176,3.009200035432005,1.5351009035838894,13.980278209734331
2022-08-09,-0.2995239701051714,0.2525305505214456,-3.0559547758540653,2.8060156866749146,1.590056234554339,13.615661326896916
2022-08-10,-0.2973416230563744,0.31530466861591083,-3.094183203138678,2.7479087362017673,1.6244896197093506,13.330774576202211
2022-08-11,-0.18211528182085354,0.21988325988529595,-3.2197981510360707,2.5307361208586765,1.63234566797923,13.272726868971683
2022-08-12,-0.4295600219096971,0.5686605840009895,-3.191329658035553,3.25352306558855,1.4262626976631139,14.55613936937951
2022-08-15,-0.30935526102277394,0.44731744091499187,-3.5017714472603534,2.918678700064621,1.4727378648382103,13.75707722901862
2022-08-16,-0.2598096299384992,0.44883639037324846,-3.6554407342277946,2.772433802333879,1.4602314818635103,13.252237791185168
2022-08-17,0.07396294127554108,-0.057384958196493946,-4.138813788409472,2.0365595766909674,1.7505602461745922,9.681152939882077
2022-08-18,0.0687076679532225,-0.006776802834022909,-4.294146073601125,1.9681287136463717,1.7631066076485038,9.37505192904019
2022-08-19,-0.01239258367246573,0.07759065459959678,-4.120899313434368,2.249577875822625,1.7558681886173468,10.091018741813699
2022-08-22,0.066648750792853,-0.1491375072441275,-4.195348829033412,2.1751603660519323,1.9202132285031024,9.1245634407068
2022-08-23,-0.01997396028462482,-0.11552719764196963,-4.0030912873855415,2.188564952054419,1.8225871078920715,10.44744983721959
2022-08-24,-0.021468635643681063,-0.17701669951941862,-3.6210715975402885,2.2867829863094036,1.9696593879823172,10.53973163596306
2022-08-25,0.11066042220043915,-0.372617211193812,-3.8620365757451114,2.110890246022183,2.073028148977851,8.998454508740625
2022-08-26,0.03952971672410076,-0.384190908571913,-3.757456056743721,2.4840685309318777,2.2190993310261025,8.899747173175465
2022-08-30,0.1649055989430865,-0.44031430167061264,-3.9387368216411454,2.3539099980447906,2.240964904376808,8.391765454316735
2022-08-31,0.022553703839285153,-0.07661025715654068,-3.775416977594282,2.3803034922091006,1.8411941808963528,10.597299056031208
2022-09-01,-0.03257988093306224,-0.014290349183346025,-3.6949463891424723,2.554052436231589,1.8019612050575116,11.092179021324185
2022-09-02,-0.05261991464281134,-0.03691883905616918,-3.508640355925857,2.5206018575311715,1.8842365846250386,11.337933417419354
2022-09-05,-0.15880660591246387,0.12268862859011534,-3.546249121675606,2.730712892680915,1.7110381360766445,12.368354145004504
2022-09-06,-1.1985315485365127,1.1421925036324339,-1.718027769710989,5.476355779500262,0.8897977748093042,16.704744980645653
2022-09-07,0.28932451452508795,-0.973249007053564,-6.9517421063169005,6.447322844142326,3.68228609950111,5.4967010283960684
2022-09-08,0.20384893489181632,-0.682873426756577,-3.5020496597340847,2.5946736864685147,2.5742523972786997,8.004704208717671
2022-09-09,0.10397151932631721,-0.6134122012338418,-2.9959889079282225,2.6110436284968945,2.48441739995227,9.67188550443516
2022-09-12,-0.07691101688878671,-0.363174942656481,-2.819350746380755,2.6186883574414224,1.9804400862114235,11.865647768469952
2022-09-13,-0.1594827383498889,-0.23076332063711733,-2.8864414004133305,2.6585558771783955,1.727667640912647,12.868613640483913
